,Date,Open,High,Low,Close,Volume
0,2022-12-12 15:35:00,285.0,285.01001,284.79001,284.85999,70449
1,2022-12-12 15:36:00,284.84,284.97,284.785,284.97,59197
2,2022-12-12 15:37:00,284.95999,285.04001,284.92999,285.01999,78183
3,2022-12-12 15:38:00,285.01999,285.06,284.82001,284.82001,227415
4,2022-12-12 15:39:00,284.82999,285.03,284.82001,285.03,118525
5,2022-12-12 15:40:00,285.03,285.03,284.92001,284.95001,61859
6,2022-12-12 15:41:00,284.94,284.98001,284.72,284.73001,93214
7,2022-12-12 15:42:00,284.72,284.72891,284.54999,284.59991,187943
8,2022-12-12 15:43:00,284.59,284.60999,284.48999,284.51501,81001
9,2022-12-12 15:44:00,284.5199,284.60001,284.465,284.48001,114809
10,2022-12-12 15:45:00,284.47,284.62,284.34,284.48001,101572
11,2022-12-12 15:46:00,284.54999,284.66,284.42001,284.63,131079
12,2022-12-12 15:47:00,284.60999,284.64999,284.54001,284.56,51891
13,2022-12-12 15:48:00,284.57001,284.62,284.5101,284.60001,71204
14,2022-12-12 15:49:00,284.60001,284.69501,284.57001,284.69501,50875
15,2022-12-12 15:50:00,284.67001,284.67001,284.35999,284.47,118352
16,2022-12-12 15:51:00,284.45999,284.54001,284.41,284.47839,107197
17,2022-12-12 15:52:00,284.47,284.63199,284.41,284.60999,143723
18,2022-12-12 15:53:00,284.60001,284.88989,284.56,284.85501,272559
19,2022-12-12 15:54:00,284.85989,284.94501,284.76501,284.84161,173567
21,2022-12-12 15:56:00,285.10999,285.37,285.10501,285.37,209513
22,2022-12-12 15:57:00,285.35999,285.41,285.32001,285.38,302926
23,2022-12-12 15:58:00,285.38,285.44,285.32999,285.42001,323447
24,2022-12-12 15:59:00,285.42999,285.64001,285.38,285.60999,845435
